timestep,x_true_0,x_true_1,z_0,z_1
66,-0.4747,3.74595,0.364276,3.0592
67,-0.656944,3.76966,-2.41608,3.24678
68,-0.7418,3.43461,-0.653084,4.27651
69,-1.07711,3.40285,-0.934724,2.34934
70,-1.13037,3.58158,0.383125,3.73598
71,-1.54524,3.54635,-2.37787,3.41637
72,-1.96562,3.44107,-0.725568,2.42737
73,-2.05902,3.04296,-2.42439,2.89844
74,-2.18242,3.08279,-2.00547,1.98708
75,-2.67337,3.1182,-3.15128,3.83377
76,-2.76347,3.45441,-3.70576,3.67292
77,-3.06654,3.63782,-3.44288,2.65049
78,-3.15716,3.93224,-4.0671,4.00216
79,-3.09063,3.78019,-3.51673,4.55147
80,-3.04561,3.63549,-3.70807,4.13428
81,-3.32627,3.70004,-4.45189,3.51124
82,-3.35661,3.91817,-3.68451,3.83703
83,-3.37791,4.113,-3.37643,4.75425
84,-3.4511,4.39517,-3.35068,4.17055
85,-3.85831,4.23019,-3.10693,4.88467
86,-3.75097,4.15676,-4.55834,4.38462
87,-4.06711,4.09643,-3.22211,3.98481
88,-4.14457,4.01638,-5.0202,4.35983
89,-4.5713,3.72083,-5.27044,3.65259
90,-4.85665,3.62623,-5.13736,4.91924
91,-4.96121,3.41187,-3.95179,3.53472
92,-4.86615,3.62953,-5.47021,4.17555
93,-4.74728,3.58095,-3.4808,4.33202
94,-4.43191,3.1933,-5.23099,4.93332
95,-5.0383,3.25443,-5.49353,3.2083
96,-4.90603,3.2947,-4.88666,3.23097
97,-4.97197,3.01309,-4.08948,3.32645
98,-4.8677,3.25127,-3.7768,3.61843
99,-4.70223,3.30499,-5.01667,2.86352
100,-4.59128,3.22339,-4.73098,2.76127
101,-4.68849,2.9159,-4.82492,0.609959
102,-4.28243,2.64861,-3.99923,1.62867
103,-4.23968,2.72947,-4.14379,2.40668
104,-4.42986,2.60114,-4.94582,2.37742
105,-4.5908,2.31071,-4.05182,2.30224
106,-4.9364,2.24755,-4.55978,2.2013
107,-4.95082,2.19969,-4.11419,1.16424
108,-5.23592,2.24301,-5.41956,2.11997
109,-5.00915,2.3919,-4.55448,2.55196
110,-5.18731,2.39675,-5.02426,3.34366
111,-5.15962,2.25573,-4.84047,1.67419
112,-5.15321,2.35554,-5.8088,1.90793
113,-5.03459,2.19112,-4.05118,-0.199893
114,-5.01841,1.97776,-5.41575,2.66838
115,-4.92377,1.86021,-6.12355,2.5217
116,-4.91061,2.01263,-4.33155,2.19971
117,-5.0772,2.11702,-6.05767,1.04931
118,-5.01509,2.05091,-4.86584,1.03529
119,-4.60103,1.9748,-3.63481,2.39235
120,-4.60931,2.08509,-4.06619,3.43044
121,-4.7333,2.53321,-4.67901,3.44966
122,-4.83421,2.39659,-4.41433,2.87189
123,-4.88466,2.13606,-5.42416,2.57456
124,-5.22118,2.46421,-4.56624,2.45265
125,-5.56954,2.67254,-5.37097,1.76294
126,-5.50622,2.7858,-4.28488,3.8455
127,-5.55925,2.81002,-5.48382,2.80174
128,-5.63418,2.61921,-6.30201,2.70382
129,-5.55051,2.70773,-5.01946,2.70116
130,-5.83206,3.20835,-6.8957,3.26296
131,-5.75614,3.43057,-6.22651,5.21645
132,-5.82679,3.45201,-6.11355,3.74708
133,-5.9111,3.37445,-5.84294,3.76521
134,-5.69031,3.42531,-5.86143,3.23153
135,-5.83321,3.44425,-6.61135,3.82379
136,-6.05702,3.46772,-5.79883,3.39915
137,-5.79831,3.39362,-4.86563,3.69122
138,-5.76789,3.21675,-5.99728,3.69061
139,-5.69836,3.6851,-6.38283,4.65426
140,-5.34435,3.46021,-6.25048,3.32763
141,-5.434,3.46823,-5.01608,3.56841
142,-5.0605,3.42177,-5.33242,4.86134
143,-5.13462,3.49891,-4.58801,2.40281
144,-4.50294,3.51572,-3.8563,3.50835
145,-4.52148,3.42619,-5.17083,3.99449
146,-4.53065,3.57798,-5.97682,3.47299
147,-4.33247,3.4983,-5.47086,3.84559
148,-3.93276,3.1669,-3.84193,3.95674
149,-3.78685,3.26084,-1.9121,3.17438
150,-3.36852,3.17741,-2.82139,2.97194
151,-3.38014,3.12748,-3.01106,2.43163
152,-3.59827,3.09213,-2.30109,3.75768
153,-3.69826,3.34538,-2.43536,2.19105
154,-3.61926,3.04818,-3.50596,1.81332
155,-3.30674,3.34806,-2.01633,2.58488
156,-3.49697,3.28049,-3.41381,4.07187
157,-3.47093,3.60001,-3.21108,2.85859
158,-3.06053,3.52293,-3.33694,3.82097
159,-3.13569,3.34415,-3.13427,1.52442
160,-2.90735,3.62423,-3.38633,2.7866
161,-3.27078,3.39225,-2.85652,3.24581
162,-3.38058,3.03841,-4.20348,2.90701
163,-3.84401,3.27304,-4.14008,3.74979
164,-3.86561,3.62404,-4.27152,2.63119
165,-3.95598,3.84949,-3.67217,3.20827
166,-3.85108,3.53077,-4.19128,3.32325
167,-3.6217,3.85411,-3.73508,2.93616
168,-4.01812,3.85307,-3.89351,3.69296
169,-3.61118,3.68822,-2.10564,4.33942
170,-3.80757,3.54862,-3.75395,4.12307
171,-4.08113,3.74976,-3.19552,3.34749
172,-4.12733,3.85054,-4.3076,4.01222
173,-4.02396,4.08871,-2.50411,3.38667
174,-3.93804,4.18755,-4.54741,3.70593
175,-3.97172,4.22866,-4.80682,3.87965
176,-4.02174,4.07191,-3.77642,2.98872
177,-4.23359,3.89129,-3.44047,4.3236
178,-4.46524,3.7446,-4.55951,4.08499
179,-4.51049,4.05172,-5.22428,4.51045
180,-4.5912,3.81251,-4.35768,3.48353
181,-4.39768,3.76954,-3.32108,3.32509
182,-4.24687,3.81382,-5.04231,4.20072
183,-4.57008,3.66231,-4.69118,4.64739
184,-4.93126,3.75937,-4.76268,3.1614
185,-4.72253,3.72018,-4.72642,3.50046
186,-4.16994,3.61473,-3.94897,4.06886
187,-3.41912,3.61055,-3.26371,4.91101
188,-3.33708,3.9584,-3.58757,4.49991
189,-3.31548,4.09505,-3.25661,3.19531
190,-3.19269,4.26068,-2.79569,3.84177
191,-3.17536,4.11544,-1.49861,3.27479
192,-3.01583,3.73,-3.25656,3.21684
193,-3.21035,4.03581,-3.78583,4.66667
194,-3.00875,4.33806,-2.25476,4.64307
195,-2.9262,4.58103,-2.86527,5.40358
196,-2.75697,4.5517,-1.57872,4.45648
197,-2.78858,4.68738,-4.0336,5.15239
198,-3.0961,4.68093,-2.86038,3.72779
199,-2.88436,4.83934,-3.55238,3.99961
