timestep,x_true_0,z_0
172,-4.12733,-4.79153
173,-4.02396,-4.35691
174,-3.93804,-3.59092
175,-3.97172,-4.30284
176,-4.02174,-4.34386
177,-4.23359,-4.91526
178,-4.46524,-5.61189
179,-4.51049,-3.84149
180,-4.5912,-3.43505
181,-4.39768,-5.45343
182,-4.24687,-3.51958
183,-4.57008,-4.58129
184,-4.93126,-4.55381
185,-4.72253,-4.70126
186,-4.16994,-4.21908
187,-3.41912,-2.9929
188,-3.33708,-3.79248
189,-3.31548,-4.37211
190,-3.19269,-3.49713
191,-3.17536,-3.68818
192,-3.01583,-4.95366
193,-3.21035,-2.94843
194,-3.00875,-2.77683
195,-2.9262,-3.27467
196,-2.75697,-3.92356
197,-2.78858,-3.58471
198,-3.0961,-3.61948
199,-2.88436,-2.28211
200,-3.03508,-2.69345
201,-3.09807,-2.97376
202,-2.81267,-4.25865
203,-2.91795,-1.18908
204,-2.65696,-2.66777
205,-2.76069,-3.74131
206,-2.72227,-3.49053
207,-2.59487,-3.1954
208,-2.60362,-0.0817752
209,-2.49197,-1.84325
210,-2.62626,-2.05909
211,-2.63317,-1.63534
212,-2.48142,-2.99693
213,-2.76455,-0.892732
214,-3.04314,-3.06218
215,-2.74364,-2.40881
216,-3.08231,-1.66744
217,-3.29209,-2.96668
218,-2.79675,-2.909
219,-2.67741,-2.91218
220,-2.50377,-2.38059
221,-2.30506,-2.04545
222,-2.8607,-2.31851
223,-3.09016,-3.03392
224,-3.35518,-3.80625
225,-3.3636,-4.05965
226,-3.24463,-3.31399
227,-3.03659,-2.33927
228,-3.08323,-3.20701
229,-3.11596,-2.44319
230,-3.29522,-4.61769
231,-3.00415,-1.8413
232,-3.12404,-4.14944
233,-3.18968,-3.6544
234,-3.06091,-2.95999
235,-3.01602,-3.66709
236,-2.87379,-3.92931
237,-2.9979,-3.31254
238,-2.69283,-3.53039
239,-2.56757,-3.95956
240,-2.51016,-2.70245
241,-2.48591,-2.55243
242,-2.44446,-3.4755
243,-2.35639,-0.787877
244,-1.89362,-0.782687
245,-2.28406,-2.25589
246,-2.38088,-1.68484
247,-2.36019,-2.51633
248,-1.80746,-2.60765
249,-1.89817,-1.72773
250,-1.77375,-2.01955
251,-2.06524,-0.577767
252,-2.57151,-1.91069
253,-2.85835,-3.02784
254,-2.98206,-3.82964
255,-3.26741,-2.94993
256,-2.9721,-2.31715
257,-2.83439,-2.87452
258,-2.83315,-2.08677
259,-3.03056,-2.78516
260,-2.81427,-2.90742
261,-2.66823,-2.58865
262,-2.43245,-3.08198
263,-2.30353,-3.29289
264,-2.24912,-1.89936
265,-2.40312,-3.87796
266,-2.13781,-2.74139
267,-2.6941,-3.18677
268,-2.66605,-3.29489
269,-2.62102,-2.69129
270,-2.14241,-1.95721
271,-2.40571,-2.12256
272,-2.01358,-1.76478
273,-2.12912,-1.27227
274,-2.07316,-2.41745
275,-2.22429,-1.8421
276,-2.52226,-2.94203
277,-2.64127,-3.07482
278,-2.92902,-2.40987
279,-3.06376,-3.87401
280,-3.27325,-2.75384
281,-3.6292,-2.55524
282,-3.7329,-2.53175
283,-3.73243,-3.26294
284,-3.70067,-3.25958
285,-3.46306,-2.84958
286,-3.71838,-3.97574
287,-3.45117,-2.55447
288,-3.72806,-2.65537
289,-3.94915,-3.61797
290,-4.03792,-4.00549
291,-3.71872,-4.49251
292,-3.90974,-3.48381
293,-3.50924,-3.59119
294,-3.76193,-2.59685
295,-3.90589,-5.05273
296,-3.89976,-4.41093
297,-3.62069,-2.96024
298,-3.27572,-2.02159
299,-3.37516,-4.10166
300,-3.41933,-3.19508
301,-3.46248,-3.71397
302,-3.37292,-3.10758
303,-3.3426,-2.66535
304,-3.50576,-3.45027
305,-3.33532,-4.11661
306,-3.21622,-2.11137
307,-2.95165,-3.60242
308,-3.00973,-2.995
309,-2.86595,-2.58784
310,-2.81439,-3.52267
311,-2.71347,-2.73703
312,-2.92079,-3.81913
313,-2.60981,-3.3198
314,-2.73546,-2.44517
315,-3.11486,-3.0715
316,-2.93175,-4.03724
317,-3.2418,-2.50575
318,-3.1946,-2.25081
319,-2.88906,-2.79387
320,-2.71731,-3.34499
321,-2.70014,-2.56758
322,-2.56736,-2.95779
323,-2.73797,-1.49641
324,-2.53086,-2.61139
325,-2.46806,-2.02308
326,-2.08184,-2.27125
327,-2.05799,-2.7174
328,-2.26917,-3.28703
329,-2.10124,-2.17349
330,-2.43759,-2.21584
331,-2.58634,-1.9261
332,-2.67702,-2.44763
333,-2.65546,-3.31054
334,-2.70958,-3.19528
335,-2.95565,-2.85794
336,-2.874,-2.99737
337,-2.57906,-2.895
338,-2.6516,-1.36802
339,-2.86805,-3.12294
340,-3.15459,-2.5029
341,-3.02244,-3.92836
342,-3.10843,-2.59235
343,-2.93557,-1.58546
344,-2.73109,-1.83941
345,-2.93643,-3.89473
346,-3.39375,-4.59864
347,-3.75374,-1.63854
348,-3.72502,-4.83379
349,-3.13217,-3.4369
350,-2.95915,-2.1984
351,-2.84244,-2.84629
352,-2.43223,-1.45995
353,-2.03287,-3.72876
354,-1.99704,-1.82463
355,-1.58898,-1.64626
356,-1.56268,-1.25983
357,-1.4805,-2.39381
358,-1.56791,-1.95755
359,-1.56746,-1.76579
360,-1.71893,-1.82316
361,-1.58793,-1.20952
362,-1.84815,-1.66464
363,-1.94178,-2.20232
364,-2.07013,-2.54258
365,-1.98039,-2.26085
366,-2.08797,-1.3946
367,-2.12382,-2.24123
368,-2.08442,-2.16548
369,-1.60832,-1.26916
370,-1.59137,-1.26205
371,-1.31131,-0.71295
372,-1.36832,-1.27187
373,-0.887698,-1.54139
374,-1.0804,-1.84176
375,-1.34448,-0.534456
376,-1.2669,-2.03765
377,-1.01609,-1.91702
378,-1.0459,0.0645153
379,-1.27162,-0.678477
380,-1.19778,-1.60184
381,-0.857328,-2.65874
382,-1.10887,-0.190866
383,-1.14716,-0.0361235
384,-1.09385,-1.99092
385,-1.09508,-0.497326
386,-1.02521,-1.06767
387,-0.976061,-0.574414
388,-1.05527,-2.09092
389,-1.03666,-0.38947
390,-0.911114,-1.46674
391,-0.380878,-0.549505
392,-0.457003,-0.162049
393,-0.638985,0.761442
394,-0.400553,-0.0831462
395,-0.381284,0.098914
396,-0.00869012,-0.322322
397,-0.4024,-0.632571
398,-0.327859,-0.774948
399,-0.539106,-0.112235
400,-0.724581,-1.09913
401,-0.22265,-0.182794
402,0.0138208,-1.03507
403,0.0632015,0.327696
404,0.382166,0.26472
405,0.278287,1.32511
406,0.203262,1.60445
407,0.033549,0.241141
408,0.324686,0.0884273
409,0.330368,1.42154
410,0.230353,-0.622266
411,0.0578278,1.58471
412,-0.0062737,0.129775
413,-0.289098,-0.0820339
414,-0.228557,-0.24447
415,-0.376467,-1.15385
416,-0.0500824,0.0929496
417,-0.304651,-0.00670169
418,0.0440883,-0.788684
419,0.202954,0.900844
420,0.134936,0.160096
421,0.319847,1.05619
422,0.418417,-0.151779
423,0.450306,0.545951
424,0.188981,0.489926
425,-0.0955022,-0.936699
426,0.0725729,-1.31719
427,-0.0965219,-0.773394
428,-0.0967987,-1.46538
429,-0.0124391,0.303079
430,-0.157701,-0.199546
431,-0.024128,0.161551
432,-0.0471741,0.201691
433,-0.330302,2.35236
434,0.16676,-1.28694
435,-0.0432641,-0.722437
436,0.266151,1.59106
437,0.609738,-0.151664
438,0.4336,0.144481
439,0.111413,0.571165
440,-0.00795921,-0.489392
441,0.446323,-0.242161
442,0.797953,0.076699
443,0.717719,2.21361
444,0.794328,0.490322
445,1.00923,0.885771
446,1.00836,0.720808
447,1.04282,1.08966
448,0.928207,0.48889
449,0.949979,0.262196
450,0.775478,0.594018
451,1.02594,2.60082
452,1.08447,1.22373
453,1.25812,1.66233
454,1.09615,0.0912214
455,1.46094,0.562008
456,1.24574,1.5995
457,1.27557,1.77204
458,1.83151,0.984442
459,1.52078,0.947081
460,1.52141,1.42513
461,1.42963,0.798253
462,1.27673,0.62571
463,1.2912,0.959068
464,1.53885,1.75732
465,1.71053,1.5545
466,1.50465,0.838155
467,1.78252,1.09679
468,1.466,0.877256
469,1.36727,1.39516
470,1.4352,2.48295
471,1.35533,1.91342
472,1.30772,1.161
473,1.703,2.32806
474,1.8246,0.681017
475,1.51663,2.32973
476,1.62817,2.20933
477,1.56646,1.38134
478,1.51786,1.0241
479,1.37771,0.448253
480,0.980427,1.45509
481,1.0011,1.42965
482,0.923562,1.53046
483,1.02317,1.637
484,0.717185,1.61001
485,0.697838,0.146715
486,1.05446,0.898551
487,0.845723,1.1745
488,0.776226,0.97387
489,0.560474,-0.310564
490,0.602883,0.651638
491,0.814908,2.25746
492,0.613203,-0.160461
493,0.732086,-0.766289
494,0.817317,1.06467
495,0.910513,1.45861
496,1.16721,0.845726
497,1.26113,1.36313
498,1.40136,2.14802
499,1.37684,2.05688
500,1.34885,1.9168
501,1.24726,0.472691
502,1.46091,1.58228
503,1.39352,1.41727
504,1.18243,0.751476
505,1.2737,2.59577
506,1.19322,1.22239
507,1.0572,1.27258
508,1.36102,1.49805
509,1.23543,1.6707
510,1.03384,1.67607
511,1.03045,1.29573
512,0.778585,1.20754
513,0.857261,0.584835
514,0.489374,0.734287
515,0.690547,1.39941
516,0.157378,1.19315
517,0.432153,0.841589
518,0.637483,-1.29567
519,0.400026,0.671395
520,0.578716,0.824764
521,0.377645,-0.297097
522,0.247203,0.790394
523,0.530294,1.31042
524,0.507433,1.27563
525,0.635848,0.685505
526,0.542768,1.69833
527,0.357171,-0.533673
528,0.282038,0.489799
529,0.639158,0.945912
530,1.01511,1.20553
531,1.36655,1.90329
532,1.51553,1.10255
533,1.71872,2.39832
534,1.22263,0.263212
535,1.60456,2.11331
536,1.95738,2.15576
537,1.86358,1.30376
538,1.83318,1.66759
539,1.379,1.99369
540,1.58186,0.351467
541,1.50111,1.18775
542,1.49874,0.84333
543,1.29652,1.18043
544,0.975199,-0.435853
545,1.24,1.21028
546,1.17591,1.11783
547,1.25989,0.299937
548,0.971926,1.34601
549,1.3272,1.11971
550,1.40512,1.5032
551,1.17866,0.729052
552,1.27173,2.37233
553,1.50671,1.63596
554,1.33224,1.74615
555,1.35786,2.42501
556,1.53737,1.09693
557,1.57505,0.587322
558,1.28147,0.701171
559,1.44652,0.65993
560,1.37663,1.69504
561,0.946174,0.743551
562,0.986253,0.16992
563,0.689261,0.554672
564,0.693287,2.58275
565,0.84068,-0.191269
566,0.522363,0.109398
567,0.652415,0.483173
568,0.682235,0.240974
569,0.846657,1.0256
570,0.665472,1.24765
571,0.900799,2.17068
572,1.06003,1.14669
573,1.35183,1.52824
574,1.47355,0.504606
575,1.61732,0.816571
576,1.69227,2.41428
577,1.65936,1.72323
578,2.01343,2.27722
579,1.75441,0.256375
580,1.88024,1.99643
581,1.84788,1.65303
582,1.6263,1.01885
583,1.71644,1.87277
584,1.74145,1.7387
585,2.14743,2.29623
586,2.00714,2.04729
587,1.86584,1.65861
588,2.03232,1.15181
589,1.9181,2.30263
590,2.02241,0.195368
591,2.05858,2.06284
592,2.10316,1.8359
593,2.42567,2.44314
594,2.19251,2.17344
595,1.9464,1.17923
596,1.93365,2.15129
597,2.04114,1.40853
598,2.00431,2.64965
599,1.9142,2.37093
600,2.26627,1.70285
601,2.08317,1.72061
602,1.73788,1.19145
603,1.53619,0.784839
604,1.46688,0.286427
605,1.58393,0.810259
606,1.69063,1.72373
607,1.5747,2.0583
608,1.49755,1.9993
609,1.88681,2.22323
610,1.62328,0.974846
611,1.63671,1.72386
612,1.61711,2.30584
613,1.76929,1.57609
614,1.58012,2.28652
615,1.55653,0.949094
616,1.83378,2.38476
617,1.66936,1.70937
618,1.48512,1.63693
619,1.29797,0.797243
620,1.49673,1.37456
621,1.71976,0.670364
622,1.86823,0.979016
623,2.0346,3.0113
624,2.06728,1.67372
625,1.90783,2.25611
626,1.85848,1.87893
627,1.9356,2.52171
628,1.73552,3.54437
629,1.78659,0.889556
630,2.01721,2.66701
631,2.08948,2.01928
632,1.90009,1.61412
633,1.61115,0.83124
634,1.7293,1.80127
635,1.55563,1.82945
636,1.40302,1.64734
637,1.5953,2.65238
638,1.68885,2.73024
639,1.92239,2.13907
640,1.59862,2.07414
641,1.52369,2.07368
642,1.86221,0.611012
643,1.95073,1.43278
644,1.88696,1.83692
645,2.25226,2.51882
646,2.51383,3.44565
647,3.07794,3.73492
648,3.07105,4.24229
649,2.89282,3.30739
650,2.87617,2.85361
651,2.91027,1.78779
652,2.76603,1.53504
653,3.08574,1.79524
654,3.04924,2.73119
655,2.98056,2.78864
656,2.80881,4.06788
657,2.87371,3.41527
658,2.54316,0.999172
659,2.51603,2.11104
660,2.17873,1.85907
661,2.29718,1.41543
662,2.71525,4.18795
663,2.64191,4.13464
664,2.56232,3.03578
665,2.61303,2.78894
666,2.85221,2.86982
667,2.90808,3.81921
668,3.07407,2.92423
669,3.16829,2.27992
670,3.28803,3.86814
671,3.19844,3.5867
672,3.07759,3.13518
673,2.94551,3.25138
674,2.82517,1.46577
675,2.99824,3.52622
676,3.52893,4.1164
677,3.26624,2.84472
678,3.13193,2.98139
679,3.2863,2.97756
680,3.67256,3.24226
681,3.72838,2.80492
682,3.70046,5.17195
683,3.99567,4.9667
684,4.07906,4.18243
685,3.90318,4.80855
686,3.66932,4.02704
687,3.86397,4.79182
688,3.74532,4.94636
689,3.95104,4.56387
690,3.85707,3.09706
691,4.24915,4.60048
692,4.59842,4.30396
693,4.57781,4.8171
694,4.3417,4.56798
695,4.55545,4.34411
696,4.28959,4.02641
697,4.64911,4.17088
698,5.04419,4.77214
699,4.83016,4.74875
700,4.82858,4.97825
701,4.76639,4.66166
702,4.61827,4.75625
703,4.58934,2.8065
704,4.81453,5.04013
705,4.90194,5.21525
706,5.13076,3.9562
707,4.87629,5.27852
708,4.65419,4.9708
709,4.42158,5.36637
710,4.19015,4.85094
711,4.41311,5.11065
712,4.60396,4.08984
713,4.44455,4.1829
714,4.11344,3.63724
715,4.01722,5.1726
716,4.05074,3.26572
717,4.04472,3.51226
718,4.22893,5.16101
719,4.18718,4.88891
720,4.43858,4.56344
721,3.98692,4.42315
722,4.33578,3.87769
723,4.29581,4.31045
724,4.18162,4.52426
725,3.91049,3.67592
726,4.40676,4.46582
727,4.38224,4.93266
728,4.09928,4.04005
729,4.08519,4.26257
730,3.97111,5.15049
731,3.87445,3.36997
732,3.75012,3.88765
733,3.5752,3.19182
734,3.61424,4.41284
735,3.66203,4.36314
736,3.15421,3.29185
737,3.42961,2.50902
738,3.28826,3.93344
739,3.00165,2.7725
740,3.19616,2.26399
741,3.08656,2.69053
742,2.95856,2.61087
743,2.97743,3.59087
744,2.6223,2.46723
745,2.62709,2.75978
746,2.7419,2.42662
747,2.89349,2.95752
748,2.83788,2.79135
749,2.98274,3.58548
750,2.64129,2.39797
751,2.90012,3.30178
752,3.07421,3.53263
753,2.99509,2.93796
754,2.88292,4.39287
755,2.75697,2.44652
756,2.64241,2.05348
757,2.54415,2.63862
758,2.61116,3.4656
759,2.3937,2.52412
760,2.29479,3.81612
761,2.3332,2.52112
762,2.46108,2.46677
763,2.46952,2.35844
764,2.62479,3.2277
765,2.62341,2.45835
766,2.62266,2.51761
767,2.74578,2.0641
768,2.93284,2.45475
769,3.08876,3.00519
770,2.85199,2.6701
771,3.22176,4.23785
772,3.09859,2.32472
773,3.21032,2.0041
774,2.90429,3.31884
775,2.67331,2.91168
776,2.63824,3.5774
777,2.88405,2.93093
778,3.19239,3.53517
779,3.4709,4.28612
780,3.78541,2.29417
781,4.09977,3.53624
782,4.49429,4.25176
783,4.7571,4.74928
784,5.1119,4.45794
785,5.20252,4.78386
786,5.37813,5.83901
787,5.33968,5.03485
788,5.1902,5.93309
789,5.16664,5.75519
790,5.11878,4.94751
791,5.06002,4.59077
792,5.11508,4.51927
793,5.173,4.04306
794,5.00265,5.68925
795,4.83559,4.05521
796,4.57307,4.28179
797,4.87952,4.26936
798,5.26,5.98377
799,5.31672,4.62663
800,5.37596,5.27468
801,5.66262,5.70045
802,5.7321,6.57835
803,5.65325,5.79278
804,4.83624,5.31286
805,4.51733,5.03491
806,4.26533,4.26973
807,4.38044,3.54428
808,4.27586,3.44867
809,4.45794,3.84904
810,4.34078,3.90995
811,4.53973,5.16628
812,4.5282,5.53234
813,4.5158,4.6542
814,4.83398,4.06662
815,5.15807,5.08423
816,5.00546,3.94727
817,5.57717,4.68181
818,5.06627,5.17875
819,4.69799,6.52815
820,4.85685,4.04406
821,5.22865,4.97623
822,5.45473,5.50543
823,5.74764,4.32559
824,5.67136,6.43488
825,5.75893,5.99068
826,5.49065,5.70976
827,5.55677,6.46054
828,5.34844,4.23047
829,4.96623,4.24067
830,4.87217,3.94626
831,4.96511,5.89674
832,4.99377,5.52804
833,4.87055,4.33515
834,4.93958,6.01585
835,4.94191,4.07424
836,4.59694,5.70072
837,4.36836,4.18629
838,4.35822,4.67056
839,4.27282,3.88045
840,4.57194,5.26078
841,4.92649,5.31418
842,4.8744,4.70751
843,4.6949,4.71977
844,4.74543,4.16469
845,5.23164,5.09054
846,4.85221,5.37564
847,5.07263,4.05592
848,5.32127,5.63371
849,5.52437,6.7631
850,5.56958,4.88219
851,5.44321,6.8263
852,5.64698,4.58843
853,5.87663,6.82778
854,5.9959,6.2002
855,5.64728,5.27535
856,5.32116,5.78698
857,5.14308,4.31424
858,5.20551,5.29347
859,5.20694,4.32099
860,4.98041,5.80518
861,5.19943,4.51138
862,5.02002,4.79692
863,5.00855,5.20708
864,5.31588,5.39369
865,5.34693,3.52806
866,5.01078,5.4409
867,4.9863,5.43361
868,5.25028,4.70662
869,5.30837,5.08381
870,5.13792,5.57863
871,5.39833,6.1146
872,5.68864,5.90716
873,5.73722,6.79992
874,5.73161,6.34222
875,5.70714,4.16875
876,5.69805,6.04185
877,5.81914,6.53666
878,5.76784,4.92982
879,6.02676,5.48696
880,6.19721,5.81684
881,6.51675,7.1664
882,6.46636,6.53138
883,6.55044,5.58499
884,6.6033,8.11069
885,6.59475,5.53789
886,6.64225,6.80234
887,6.4578,6.93688
888,6.36795,6.28303
889,6.47257,6.7151
890,6.54311,6.34296
891,6.54123,6.90026
892,6.58982,6.52523
893,6.49534,6.29403
894,6.47103,6.96308
895,6.35431,6.05626
896,6.53125,6.14187
897,6.4942,6.35979
898,6.02376,5.67857
899,6.29601,7.26847
900,5.92835,4.33031
901,6.27757,6.13324
902,6.28503,7.39985
903,6.92468,6.2854
904,6.91069,8.2432
905,7.02175,6.81155
906,6.90942,8.53505
907,6.86545,5.77125
908,6.69313,6.01564
909,6.44357,6.92746
910,6.63111,7.72374
911,6.47237,6.82968
912,6.53896,5.94993
913,6.46337,6.6176
914,6.67492,7.19307
915,7.25671,7.0568
916,7.28137,6.44677
917,7.11042,6.87948
918,7.22819,8.64086
919,7.22517,6.82995
920,7.36528,7.92684
921,7.61497,7.68577
922,7.30693,7.09539
923,7.24516,5.76807
924,7.07122,7.42202
925,7.50423,7.74651
926,7.6219,7.35811
927,7.48124,6.68672
928,7.65661,7.2792
929,7.27002,7.88284
930,6.94387,7.0284
931,6.89031,7.27395
932,7.07625,7.91218
933,7.31766,7.95929
934,7.51264,6.4722
935,7.67868,7.23568
936,7.44484,8.09989
937,7.58733,7.17001
938,7.5922,6.79304
939,7.39398,7.75001
940,7.28237,8.11973
941,7.43404,6.70739
942,7.71305,7.36132
943,7.84254,7.95761
944,7.53236,6.56795
945,7.31698,8.18056
946,7.13329,7.29271
947,7.22641,6.24563
948,7.36342,7.55475
949,7.39704,6.9375
950,7.29424,8.03237
951,7.56663,6.6683
952,7.48393,6.73801
953,7.2282,8.82982
954,7.24393,8.10576
955,7.27074,6.82671
956,7.47041,7.37892
957,7.53098,7.40398
958,7.51415,7.60844
959,7.33937,7.18309
960,6.9735,7.01566
961,6.699,5.94427
962,6.62004,6.78269
963,6.65278,6.26916
964,6.56087,7.13214
965,6.95651,5.92642
966,7.06491,7.38316
967,6.82578,4.99519
968,6.76513,6.3653
969,6.73321,6.72074
970,6.62513,6.57735
971,6.66615,5.72832
972,6.54827,6.7329
973,6.17785,5.61131
974,6.33994,6.19293
975,6.18128,5.94627
976,6.29906,6.85255
977,6.29299,6.55417
978,6.94542,6.49933
979,6.94516,7.20659
980,6.74435,7.1926
981,6.70757,5.98892
982,6.82382,6.64991
983,6.41277,5.81896
984,6.51129,6.40765
985,6.29659,5.28659
986,6.57722,6.55304
987,6.8215,6.97196
988,6.69864,6.29086
989,6.8603,7.96606
990,6.71651,5.84451
991,6.53185,7.49601
992,6.52532,5.45327
993,6.03584,6.69841
994,6.53621,5.90254
995,6.41249,6.30335
996,6.0745,4.86755
997,6.2218,7.27842
998,6.35568,6.50147
999,6.38927,5.68392
